Business_Name,Address Line 1,Address Line 2,Address Line 3,Address_Line_4,Town,County,Post Code,UPRN,Zone Description,Resident RP,Visitor VP,Essential Visitor EVP,Business BP,Additional Info,,,,,,,,,,,,,,,,,,,,,,,,
,43 Fair View,,,,Barnstaple,,EX31 1JS,100040246471,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,44 Fair View,,,,Barnstaple,,EX31 1JS,100040246472,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,45 Fair View,,,,Barnstaple,,EX31 1JS,100040246473,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,46 Fair View,,,,Barnstaple,,EX31 1JS,100040246474,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,47 Fair View,,,,Barnstaple,,EX31 1JS,100040246475,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,48 Fair View,,,,Barnstaple,,EX31 1JS,100040246476,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,49 Fair View,,,,Barnstaple,,EX31 1JS,100040246477,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,50 Fair View,,,,Barnstaple,,EX31 1JS,100040246478,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,51 Fair View,,,,Barnstaple,,EX31 1JS,100040246479,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,52 Fair View,,,,Barnstaple,,EX31 1JS,100040246480,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,53 Fair View,,,,Barnstaple,,EX31 1JS,100040246481,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,54 Fair View,,,,Barnstaple,,EX31 1JS,100040246482,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,55 Fair View,,,,Barnstaple,,EX31 1JS,100040246483,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,56 Fair View,,,,Barnstaple,,EX31 1JS,100040246484,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,34 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242137,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,35 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242138,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,36 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242139,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,37 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242140,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,38 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242141,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,39 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242142,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat 2,Ace Motors,Abbey Road,,Barnstaple,,EX31 1JU,100040242143,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit 2,Abbey Road,,,Barnstaple,,EX31 1JU,100041037297,Barnstaple A,NO,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat 1,Ace Motors,Abbey Road,,Barnstaple,,EX31 1JU,100041136238,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Cygnet Catering Ltd,Pilton County Infant School,Abbey Road,,Barnstaple,,EX31 1JU,10090336249,Barnstaple A,Blocked,Blocked,Blocked,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Cygnet Catering Ltd,Pilton Bluecoat School,Abbey Road,,Barnstaple,,EX31 1JU,10090336250,Barnstaple A,Blocked,Blocked,Blocked,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10000488572,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090003,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090004,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090005,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090006,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090007,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,8 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090008,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090009,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090010,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10000488779,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbey Lodge,Bull Hill,,,Barnstaple,,EX31 1QR,100040244389,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Bevan House,Bull Hill,,,Barnstaple,,EX31 1QR,100040244390,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Medina Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100040244392,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Pilton Abbey,Bull Hill,,,Barnstaple,,EX31 1QR,100040244393,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbey Bungalow,Bull Hill,,,Barnstaple,,EX31 1QR,100040244394,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Bull Hill House,Bull Hill,,,Barnstaple,,EX31 1QR,100040244396,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Abbey Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100040244398,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Abbey Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100040244399,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,First Floor Flat,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100040244404,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Ground Floor Flat,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100040244406,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat 4,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100041136060,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbey Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100041136157,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat 3,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100041136211,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090770,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090771,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090772,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090773,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Lake Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,10012103801,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,First Floor Flat,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,10090335979,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,The Cedars,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040244397,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Dakrood,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254858,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Elmfield,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254859,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Hanworth,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254860,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Little Bingham,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254861,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Ridgeway,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254862,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,South Bank,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254863,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Stabula,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254864,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,The Orchard,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254865,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Lake Almshouses,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254866,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Lake Almshouses,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254867,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat A,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254868,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat B,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254869,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat C,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254870,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat D,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254871,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat 3,Longstone House,Under Minnow Road,,Barnstaple,,EX31 1QU,100041136068,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,Longstone House,Under Minnow Road,,,Barnstaple,,EX31 1QU,100041228436,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Priory Close,,,,Barnstaple,,EX31 1QX,100040252416,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Priory Close,,,,Barnstaple,,EX31 1QX,100040252417,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Priory Close,,,,Barnstaple,,EX31 1QX,100040252418,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Priory Close,,,,Barnstaple,,EX31 1QX,100040252419,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Priory Close,,,,Barnstaple,,EX31 1QX,100040252420,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Priory Close,,,,Barnstaple,,EX31 1QX,100040252421,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Priory Close,,,,Barnstaple,,EX31 1QX,100040252422,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,8 Priory Close,,,,Barnstaple,,EX31 1QX,100040252423,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Priory Close,,,,Barnstaple,,EX31 1QX,100040252424,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,10 Priory Close,,,,Barnstaple,,EX31 1QX,100040252425,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,11 Priory Close,,,,Barnstaple,,EX31 1QX,100040252426,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,12 Priory Close,,,,Barnstaple,,EX31 1QX,100040252427,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,13 Priory Close,,,,Barnstaple,,EX31 1QX,100040252428,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,14 Priory Close,,,,Barnstaple,,EX31 1QX,100040252429,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,15 Priory Close,,,,Barnstaple,,EX31 1QX,100040252430,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,16 Priory Close,,,,Barnstaple,,EX31 1QX,100040252431,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,17 Priory Close,,,,Barnstaple,,EX31 1QX,100040252432,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,18 Priory Close,,,,Barnstaple,,EX31 1QX,100040252433,Barnstaple A,Blocked,Blocked,Blocked,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242106,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242107,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242108,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242109,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242110,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242111,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242112,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,8 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242113,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
