Town,Restriction Type,Total Estimated length (m),Total Estimated spaces
Tavistock,No Waiting At Any Time,12656,2230
Tavistock,Public Service Vehicle Parking,70,4
Tedburn St Mary,Disabled Parking,7,1
Tedburn St Mary,Keep Clear Marking (TRO),31,5
Tedburn St Mary,No Waiting At Any Time,192,31
Teigngrace,No Waiting At Any Time,456,80
Teignmouth,Bus Stop Clearway,217,13
Teignmouth,Disabled Parking,89,8
Teignmouth,Keep Clear Marking (TRO),315,52
Teignmouth,Limited Waiting,626,116
Teignmouth,Loading Only,347,31
Teignmouth,No Loading,309,55
Teignmouth,No Loading At Any Time,493,82
Teignmouth,No Waiting,299,53
Teignmouth,No Waiting At Any Time,15484,2737
Teignmouth,Pay & Display,1272,251
Teignmouth,Permit Holders Only,54,9
Teignmouth,Public Service Vehicle Parking,53,3
Teignmouth,Residents Permit Parking,1416,283
Thorverton,Keep Clear Marking (TRO),44,8
Thorverton,No Waiting At Any Time,43,7
Thurlestone,Disabled Parking,22,3
Thurlestone,Keep Clear Marking (TRO),45,8
Thurlestone,No Waiting At Any Time,3436,619
Tiverton,Bus Stop Clearway,131,8
Tiverton,Disabled Parking,91,12
Tiverton,Keep Clear Marking (TRO),253,43
Tiverton,Limited Waiting,656,126
Tiverton,Loading Only,101,9
Tiverton,No Loading,229,41
Tiverton,No Loading At Any Time,150,27
Tiverton,No Waiting,2008,349
Tiverton,No Waiting At Any Time,16129,2859
Tiverton,Permit Holders Only,40,8
Tiverton,Taxi Bay,20,3
Topsham,Bus Stop Clearway,12,1
Topsham,Disabled Parking,31,4
Topsham,Keep Clear Marking (TRO),45,8
Topsham,Limited Waiting,405,76
Topsham,Loading Only,18,1
Topsham,No Loading,18,3
Topsham,No Waiting,34,5
Topsham,No Waiting At Any Time,6110,1072
Topsham,Pay & Display,472,93
Topsham,Residents Permit Parking,2951,588
Torcross,No Waiting,1106,198
Torcross,No Waiting At Any Time,81,14
Torquay,Bus Stop Clearway,34,2
Totnes,Bus Stop Clearway,211,14
Totnes,Disabled Parking,71,10
Totnes,Keep Clear Marking (TRO),237,40
Totnes,Limited Waiting,716,136
Totnes,Loading Only,57,4
Totnes,No Loading,12,2
Totnes,No Loading At Any Time,40,7
Totnes,No Waiting,3416,600
Totnes,No Waiting At Any Time,14107,2510
Totnes,Pay & Display,282,54
Totnes,Permit Holders Only,33,6
Totnes,Residents Permit Parking,3095,618
Uffculme,No Waiting At Any Time,1213,217
Ugborough,Keep Clear Marking (TRO),33,5
Uplyme,No Waiting At Any Time,49,8
Wembury,Keep Clear Marking (TRO),35,6
Wembury,No Waiting At Any Time,635,113
West,Bus Stop Clearway,235,16
West Alvington,Bus Stop Clearway,13,1
West Alvington,No Waiting At Any Time,536,95
West Charleton,Keep Clear Marking (TRO),31,5
West Clyst,No Waiting At Any Time,34,6
Westward Ho!,Bus Stop Clearway,85,6
Westward Ho!,Limited Waiting,78,14
Westward Ho!,No Loading At Any Time,423,74
Westward Ho!,No Waiting,62,11
Westward Ho!,No Waiting At Any Time,2739,487
Widecombe In The Moor,Keep Clear Marking (TRO),26,4
Widecombe In The Moor,No Waiting,1796,323
Willand,No Waiting At Any Time,866,154
Winkleigh,No Waiting At Any Time,42,6
Woodbury,Limited Waiting,47,8
Woolacombe,Bus Stop Clearway,40,3
Woolacombe,Clearway route,865,157
Woolacombe,Limited Waiting,424,83
Woolacombe,No Loading At Any Time,40,7
Woolacombe,No Waiting,631,113
Woolacombe,No Waiting At Any Time,4016,715
Woolacombe,Pay & Display,559,112
Woolacombe,Residents Permit Parking,300,59
Woolacombe,Taxi Bay,39,6
Woolston Green,Keep Clear Marking (TRO),26,4
Woolwell,No Waiting At Any Time,291,46
Wrangaton,No Waiting At Any Time,103,17
Yealmpton,Keep Clear Marking (TRO),27,4
Yealmpton,Limited Waiting,80,15
Yealmpton,No Waiting,75,13
Yealmpton,No Waiting At Any Time,664,114
Yelverton,Disabled Parking (Advisory),25,4
Yelverton,Limited Waiting,97,19
Yelverton,No Waiting At Any Time,377,61
