Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,35 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242138,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,5 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242110,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,9 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242114,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,22 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242127,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
Pilton County Infant School,Pilton County Infant School,Abbey Road,,,Barnstaple,,EX31 1JU,100041037299,Barnstaple A,Yes,-,No,No,No,No,No,No,No
,16 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242121,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242107,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,20 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242125,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,25 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242130,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Cygnet Catering Ltd,Pilton Bluecoat School,Abbey Road,,Barnstaple,,EX31 1JU,10090336250,Barnstaple A,Yes,-,No,No,No,No,No,No,No
,14 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242119,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,15 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242120,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,Ace Motors,Abbey Road,,Barnstaple,,EX31 1JU,100041136238,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,17 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242122,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,31 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242136,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,36 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242139,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
C.A.N. Play Bluecoats,C.A.N. Play Bluecoats,Pilton Bluecoat School,Abbey Road,,Barnstaple,,EX31 1JU,10012110105,Barnstaple A,Yes,-,No,No,No,No,No,No,No
,7 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242112,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,24 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242129,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,29 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242134,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,38 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242141,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Unit 2,Abbey Road,,,Barnstaple,,EX31 1JU,100041037297,Barnstaple A,-,-,No,No,No,No,No,No,No
