Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,5 Chestnut House,Heavitree Road,,,Exeter,,EX1 2ND,10023116874,Exeter C,-,-,No,No,No,No,No,No,No
,31 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217049,Exeter C,-,-,No,No,No,No,No,No,No
,49 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217067,Exeter C,-,-,No,No,No,No,No,No,No
,19 Heavitree Road,,,,Exeter,,EX1 2LD,100041045045,Exeter C,-,-,No,No,No,No,No,No,No
,Exeter Occupational Health & Safety Service,79 Heavitree Road,,,Exeter,,EX1 2HZ,100041124348,Exeter C,-,-,No,No,No,No,No,No,No
,27 Heavitree Road,,,,Exeter,,EX1 2LG,100041124402,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,97 Heavitree Road,,,,Exeter,,EX1 2NE,10013037534,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 3,33 Heavitree Road,,,Exeter,,EX1 2LG,10013043017,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,College House St Lukes Hall,Heavitree Road,,,,,EX1 2LU,10013046482,Exeter C,Yes,-,No,No,No,No,No,No,No
,50b Heavitree Road,,,,Exeter,,EX1 2LQ,100040216968,Exeter C,-,-,No,No,No,No,No,No,No
,4 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217022,Exeter C,-,-,No,No,No,No,No,No,No
,21 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217039,Exeter C,-,-,No,No,No,No,No,No,No
,34 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217052,Exeter C,-,-,No,No,No,No,No,No,No
,38 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217056,Exeter C,-,-,No,No,No,No,No,No,No
,51 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217069,Exeter C,-,-,No,No,No,No,No,No,No
,24 Heavitree Road,,,,Exeter,,EX1 2LQ,100040216941,Exeter C,-,-,Yes,Yes,No,No,No,No,No
,26 Heavitree Road,,,,Exeter,,EX1 2LQ,100040216946,Exeter C,-,-,Yes,Yes,No,No,No,No,No
,80 Heavitree Road,,,,Exeter,,EX1 2LP,100040216977,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,37 Heavitree Road,,,,Exeter,,EX1 2LG,100040216964,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6 Baring Flats,Heavitree Road,,,Exeter,,EX1 2NB,100040217018,Exeter C,-,-,No,No,No,No,No,No,No
,25 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217043,Exeter C,-,-,No,No,No,No,No,No,No
,30 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217048,Exeter C,-,-,No,No,No,No,No,No,No
,55 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217073,Exeter C,-,-,No,No,No,No,No,No,No
,21 Heavitree Road,,,,Exeter,,EX1 2LD,100041045046,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Bsmnt Flat,25 Heavitree Road,,,Exeter,,EX1 2LG,10013048222,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1st Flr,27 Heavitree Road,,,Exeter,,EX1 2LG,10013048226,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Basement,23 Heavitree Road,,,Exeter,,EX1 2LG,10013050608,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 4,85 Heavitree Road,,,Exeter,,EX1 2ND,10023119003,Exeter C,-,-,No,No,No,No,No,No,No
,33 Heavitree Road,,,,Exeter,,EX1 2LG,100041124404,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,87 Heavitree Road,,,,Exeter,,EX1 2ND,100041124410,Exeter C,-,-,No,No,No,No,No,No,No
,Tickle & Reynolds,83 Heavitree Road,,,Exeter,,EX1 2ND,10013037531,Exeter C,-,-,No,No,No,No,No,No,No
,University Of Exeter,School Of Education,Heavitree Road,,Exeter,,EX1 2LU,10013040870,Exeter C,-,-,No,No,No,No,No,No,No
,Second Floor Flat,27 Heavitree Road,,,Exeter,,EX1 2LG,10013043016,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Gnd Flr Bedsits,27 Heavitree Road,,,Exeter,,EX1 2LG,10013048225,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,85 Heavitree Road,,,Exeter,,EX1 2ND,10023119002,Exeter C,-,-,No,No,No,No,No,No,No
,19a Heavitree Road,,,,Exeter,,EX1 2LD,10013042974,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,87 Heavitree Road,,,Exeter,,EX1 2ND,10013043025,Exeter C,-,-,No,No,No,No,No,No,No
,First Floor Flat,166-168 Heavitree Road,,,Exeter,,EX1 2LZ,10013048234,Exeter C,-,-,No,No,No,No,No,No,No
,Resident Tutor Flat Sth Cloisters,St Lukes Hall,Heavitree Road,,Exeter,,EX1 2LT,10023117736,Exeter C,-,-,No,No,No,No,No,No,No
,10 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217028,Exeter C,-,-,No,No,No,No,No,No,No
,27 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217045,Exeter C,-,-,No,No,No,No,No,No,No
,28 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217046,Exeter C,-,-,No,No,No,No,No,No,No
,45 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217063,Exeter C,-,-,No,No,No,No,No,No,No
,81 Heavitree Road,,,,Exeter,,EX1 2LX,100041045051,Exeter C,-,-,No,No,No,No,No,No,No
,166 Heavitree Road,,,,Exeter,,EX1 2LZ,100041045058,Exeter C,-,-,No,No,No,No,No,No,No
,157 Heavitree Road,,,,Exeter,,EX1 2LZ,100041124406,Exeter C,-,-,No,No,No,No,No,No,No
,168 Heavitree Road,,,,Exeter,,EX1 2LZ,100041124408,Exeter C,-,-,No,No,No,No,No,No,No
,Basement Flat,27 Heavitree Road,,,Exeter,,EX1 2LG,10013048224,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Magdalene Court School-Mais,Heavitree Road,,,Exeter,,EX1 2ND,10013048232,Exeter C,-,-,No,No,No,No,No,No,No
,Edp Drug & Alcohol Services,81 Heavitree Road,,,Exeter,,EX1 2LX,10023117666,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 2,85 Heavitree Road,,,Exeter,,EX1 2ND,10023119001,Exeter C,-,-,No,No,No,No,No,No,No
,9 Heavitree Road,,,,Exeter,,EX1 2LD,100041045038,Exeter C,-,-,Yes,Yes,No,No,No,No,No
,Flat 4,Summerlands Court,Heavitree Road,,Exeter,,EX1 2LY,100041124869,Exeter C,-,-,No,No,No,No,No,No,No
,25 Heavitree Road,,,,Exeter,,EX1 2LG,100041225315,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Exeter Occupational Health & Safety Service,79 Heavitree Road,,,Exeter,,EX1 2HZ,10013037527,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 2,11 Heavitree Road,,,Exeter,,EX1 2LD,10013042971,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 2,33 Heavitree Road,,,Exeter,,EX1 2LG,10013043020,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 6a,87 Heavitree Road,,,Exeter,,EX1 2ND,10013048229,Exeter C,-,-,No,No,No,No,No,No,No
,1 Chestnut House,Heavitree Road,,,Exeter,,EX1 2ND,10023116870,Exeter C,-,-,No,No,No,No,No,No,No
,10a Parr Close,,,,Exeter,,EX1 2BG,100040227776,Exeter C,-,-,Yes,Yes,No,No,No,No,No
,49 Parr Street,,,,Exeter,,EX1 2BE,100040227793,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,50 Parr Street,,,,Exeter,,EX1 2BE,100040227794,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,7 Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222250,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,St Lukes,Heavitree Road,,,,,,10013046481,Exeter C,Yes,-,No,No,No,No,No,No,No
,Flt 2nd Flr,156 Heavitree Road,,,Exeter,,EX1 2LZ,10013048233,Exeter C,-,-,No,No,No,No,No,No,No
,6 Parr Close,,,,Exeter,,EX1 2BG,100040227769,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,40a Parr Street,,,,Exeter,,EX1 2BE,100040227784,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,8a Parr Close,,,,Exeter,,EX1 2BG,100040227772,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,9 Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222252,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,4a Parr Close,,,,Exeter,,EX1 2BG,100040227764,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Kelston Nursing Home,91 Heavitree Road,,,Exeter,,EX1 2ND,10013048230,Exeter C,-,-,No,No,No,No,No,No,No
,Chestnut House,Heavitree Road,,,Exeter,,EX1 2ND,10023116869,Exeter C,-,-,No,No,No,No,No,No,No
,2 Chestnut House,Heavitree Road,,,Exeter,,EX1 2ND,10023116871,Exeter C,-,-,No,No,No,No,No,No,No
,1 Parr Close,,,,Exeter,,EX1 2BG,100040227759,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,2a Parr Close,,,,Exeter,,EX1 2BG,100040227760,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,51 Parr Street,,,,Exeter,,EX1 2BE,100040227795,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6 Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222249,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,46 Parr Street,,,,Exeter,,EX1 2BE,100040227790,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,54 Parr Street,,,,Exeter,,EX1 2BD,100040227797,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6b Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222247,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,8 Parr Close,,,,Exeter,,EX1 2BG,100040227773,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,38a Parr Street,,,,Exeter,,EX1 2BE,100040227780,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,39a Parr Street,,,,Exeter,,EX1 2BE,100040227782,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,45 Parr Street,,,,Exeter,,EX1 2BE,100040227789,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,55 Parr Street,,,,Exeter,,EX1 2BD,100040227798,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6a Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222246,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6a Parr Close,,,,Exeter,,EX1 2BG,100040227768,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,40 Parr Street,,,,Exeter,,EX1 2BE,100040227785,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,59 Parr Street,,,,Exeter,,EX1 2BD,100040227802,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,2 Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222242,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6 St Matthews Court,Lower Summerlands,,,Exeter,,EX1 2NR,10013045166,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,41a Parr Street,,,,Exeter,,EX1 2BE,100040227786,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,1 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217019,Exeter C,-,-,No,No,No,No,No,No,No
,35 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217053,Exeter C,-,-,No,No,No,No,No,No,No
,37 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217055,Exeter C,-,-,No,No,No,No,No,No,No
,52 Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,100040217070,Exeter C,-,-,No,No,No,No,No,No,No
,11 Heavitree Road,,,,Exeter,,EX1 2LD,100041045039,Exeter C,-,-,No,No,No,No,Yes,No,No
,Devon & Cornwall Constabulary,Heavitree Road,,,Exeter,,EX1 2LR,100041124355,Exeter C,-,-,No,No,No,No,No,No,No
,First Floor Flat,91 Heavitree Road,,,Exeter,,EX1 2ND,100041124698,Exeter C,-,-,No,No,No,No,No,No,No
,89-91 Heavitree Road,,,,Exeter,,EX1 2ND,100041124850,Exeter C,-,-,No,No,No,No,No,No,No
,Summerlands Court,Heavitree Road,,,Exeter,,EX1 2LY,100041225313,Exeter C,-,-,No,No,No,No,No,No,No
,Homemaker (south West) Ltd,Uplands Business Centre,81 Heavitree Road,,Exeter,,EX1 2LX,10013037528,Exeter C,-,-,No,No,No,No,No,No,No
,Bumble Bees Day Nursery,Uplands Business Centre,81 Heavitree Road,,Exeter,,EX1 2LX,10013037530,Exeter C,-,-,No,No,No,No,No,No,No
,Magdalene Court School-Maisonett,81 Heavitree Road,,,Exeter,,EX1 2ND,10013048228,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 2,23 Heavitree Road,,,Exeter,,EX1 2LG,10013050607,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 6,85 Heavitree Road,,,Exeter,,EX1 2ND,10023119005,Exeter C,-,-,No,No,No,No,No,No,No
,4 Parr Close,,,,Exeter,,EX1 2BG,100040227765,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,11 Parr Close,,,,Exeter,,EX1 2BG,100040227779,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,2 Lethbridge Cottages,Parr Street,,,Exeter,,EX1 2BQ,100040227804,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6 Chestnut House,Heavitree Road,,,Exeter,,EX1 2ND,10023116875,Exeter C,-,-,No,No,No,No,No,No,No
,"6a, 87 Heavitree Road",,,,Exeter,,EX1 2ND,10013044112,Exeter C,-,-,No,No,No,No,No,No,No
,Porters Lodge-St Lukes,Heavitree Road,,,Exeter,,EX1 2LU,10013049036,Exeter C,-,-,No,No,No,No,No,No,No
,Resident Tutor Flat,South Cloisters,Heavitree Road,,Exeter,,EX1 2LT,10013049037,Exeter C,-,-,No,No,No,No,No,No,No
,Senior Resident Tutor Flat,College House St Lukes Hall,Heavitree Road,,Exeter,,EX1 2LU,10013049139,Exeter C,-,-,No,No,No,No,No,No,No
,South Cloisters,St Lukes Hall,Heavitree Road,,Exeter,,EX1 2LT,10023118009,Exeter C,-,-,No,No,No,No,No,No,No
,58 Heavitree Road,,,,Exeter,,EX1 2LQ,100041124787,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Western Builders,17 Heavitree Road,,,Exeter,,EX1 2LD,10013037520,Exeter C,-,-,No,No,No,No,No,No,No
,29c Heavitree Road,,,,Exeter,,EX1 2LG,10013043014,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 5,87 Heavitree Road,,,Exeter,,EX1 2ND,10013043032,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 6,Summerlands Court,Heavitree Road,,Exeter,,EX1 2LY,100041124871,Exeter C,-,-,No,No,No,No,No,No,No
,Victim Support Devon,Uplands Business Centre,81 Heavitree Road,,Exeter,,EX1 2LX,10013037529,Exeter C,-,-,No,No,No,No,No,No,No
,12a Eaton House,Heavitree Road,,,Exeter,,EX1 2JW,10013042969,Exeter C,-,-,No,No,No,No,No,No,No
,3 Chestnut House,Heavitree Road,,,Exeter,,EX1 2ND,10023116872,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 5,85 Heavitree Road,,,Exeter,,EX1 2ND,10023119004,Exeter C,-,-,No,No,No,No,No,No,No
,6 Lethbridge Cottages,Parr Street,,,Exeter,,EX1 2BQ,100040227808,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,St Matthews Court,Lower Summerlands,,,Exeter,,EX1 2NR,10013045160,Exeter C,Yes,-,No,No,No,No,No,No,No
,5 Parr Close,,,,Exeter,,EX1 2BG,100040227767,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,58 Parr Street,,,,Exeter,,EX1 2BD,100040227801,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,1 Lethbridge Cottages,Parr Street,,,Exeter,,EX1 2BQ,100040227803,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,3 Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222243,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,5 St Matthews Court,Lower Summerlands,,,Exeter,,EX1 2NR,10013045165,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Second Floor Flat,91 Heavitree Road,,,Exeter,,EX1 2ND,100041124704,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 2,Summerlands Court,Heavitree Road,,Exeter,,EX1 2LY,100041124867,Exeter C,-,-,No,No,No,No,No,No,No
,Rear Flat,91 Heavitree Road,,,Exeter,,EX1 2ND,10013037533,Exeter C,-,-,No,No,No,No,No,No,No
,Flt 2nd Flr,5 Heavitree Road,,,Exeter,,EX1 2LD,10013042947,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,35 Heavitree Road,,,Exeter,,EX1 2LG,10013042975,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,33 Heavitree Road,,,Exeter,,EX1 2LG,10013043018,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,The Flat,83 Heavitree Road,,,Exeter,,EX1 2ND,10013047033,Exeter C,-,-,No,No,No,No,No,No,No
,14 East John Walk,,,,Exeter,,EX1 2EW,100040211251,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,24 East John Walk,,,,Exeter,,EX1 2EW,100040211264,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,25 East John Walk,,,,Exeter,,EX1 2EP,100040211265,Exeter C,-,-,Yes,Yes,No,No,No,No,No
,27 East John Walk,,,,Exeter,,EX1 2EP,100040211268,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,41 East John Walk,,,,Exeter,,EX1 2EP,100040211282,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,3 East John Walk,,,,Exeter,,EX1 2EW,100040211234,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,11 East John Walk,,,,Exeter,,EX1 2EW,100040211248,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,12 East John Walk,,,,Exeter,,EX1 2EW,100040211249,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,1a Parr Close,,,,Exeter,,EX1 2BG,100040227758,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,2 Parr Close,,,,Exeter,,EX1 2BG,100040227761,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,3a Parr Close,,,,Exeter,,EX1 2BG,100040227762,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,9 Parr Close,,,,Exeter,,EX1 2BG,100040227775,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Registrar Of Births Deaths & Marriages,1 Lower Summerlands,,,Exeter,,EX1 2LL,10013038166,Exeter C,-,-,No,No,No,No,Yes,No,No
,Flt Grnd Flr,25 Heavitree Road,,,Exeter,,EX1 2LG,10013048223,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Exeter Womens Aid,81 Heavitree Road,,,Exeter,,EX1 2LX,10023117667,Exeter C,-,-,No,No,No,No,No,No,No
,Flat 1,85 Heavitree Road,,,Exeter,,EX1 2ND,10023119000,Exeter C,-,-,No,No,No,No,No,No,No
,43 East John Walk,,,,Exeter,,EX1 2EP,100040211284,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,4 East John Walk,,,,Exeter,,EX1 2EW,100040211235,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,22a East John Walk,,,,Exeter,,EX1 2EW,100040211260,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,28 East John Walk,,,,Exeter,,EX1 2EP,100040211269,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,5a Parr Close,,,,Exeter,,EX1 2BG,100040227766,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,47 Parr Street,,,,Exeter,,EX1 2BE,100040227791,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,53 Parr Street,,,,Exeter,,EX1 2BD,100040227796,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Lethbridge Cottages,Parr Street,,,Exeter,,EX1 2BQ,100041225524,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,9a Parr Close,,,,Exeter,,EX1 2BG,100040227774,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,38 Parr Street,,,,Exeter,,EX1 2BE,100040227781,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,44 Parr Street,,,,Exeter,,EX1 2BE,100040227788,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,1 Lower Summerlands,,,,Exeter,,EX1 2LN,100041045326,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,10 Parr Close,,,,Exeter,,EX1 2BG,100040227777,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,11a Parr Close,,,,Exeter,,EX1 2BG,100040227778,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,48 Parr Street,,,,Exeter,,EX1 2BE,100040227792,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,7 Parr Close,,,,Exeter,,EX1 2BG,100040227771,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,3 Lethbridge Cottages,Parr Street,,,Exeter,,EX1 2BQ,100040227805,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,5 Lethbridge Cottages,Parr Street,,,Exeter,,EX1 2BQ,100040227807,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,1 St Matthews Court,Lower Summerlands,,,Exeter,,EX1 2NR,10013045161,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,3 St Matthews Court,Lower Summerlands,,,Exeter,,EX1 2NR,10013045163,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,St Matthews Church,Lower Summerlands,,,Exeter,,EX1 2LJ,10023119542,Exeter C,-,-,No,No,No,No,No,No,No
,18 East John Walk,,,,Exeter,,EX1 2EW,100040211255,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,21 East John Walk,,,,Exeter,,EX1 2EW,100040211259,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,33 East John Walk,,,,Exeter,,EX1 2EP,100040211274,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6c Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222248,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,8 Lower Summerlands,,,,Exeter,,EX1 2LJ,10013038167,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,7a Parr Close,,,,Exeter,,EX1 2BG,100040227770,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,39 Parr Street,,,,Exeter,,EX1 2BE,100040227783,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,41 Parr Street,,,,Exeter,,EX1 2BE,100040227787,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,57 Parr Street,,,,Exeter,,EX1 2BD,100040227800,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,4 Lower Summerlands,,,,Exeter,,EX1 2LJ,100040222244,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,4 St Matthews Court,Lower Summerlands,,,Exeter,,EX1 2NR,10013045164,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,St Matthews Church Hall,Lower Summerlands,,,Exeter,,EX1 2LJ,10023117795,Exeter C,-,-,No,No,No,No,No,No,No
,37 East John Walk,,,,Exeter,,EX1 2EP,100040211278,Exeter C,-,-,Yes,Yes,No,No,No,No,No
,44 East John Walk,,,,Exeter,,EX1 2EP,100040211285,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6d East John Walk,,,,Exeter,,EX1 2EW,100040211240,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,7 East John Walk,,,,Exeter,,EX1 2EW,100040211242,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,20a East John Walk,,,,Exeter,,EX1 2EW,100040211257,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,35 East John Walk,,,,Exeter,,EX1 2EP,100040211276,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,52 East John Walk,,,,Exeter,,EX1 2EP,100040211291,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,1 East John Walk,,,,Exeter,,EX1 2EW,100040211232,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,2 East John Walk,,,,Exeter,,EX1 2EW,100040211233,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,13 East John Walk,,,,Exeter,,EX1 2EW,100040211250,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,42 East John Walk,,,,Exeter,,EX1 2EP,100040211283,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 2,54 East John Walk,,,Exeter,,EX1 2EP,100041124842,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,54 East John Walk,,,Exeter,,EX1 2EP,100041124467,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,8 East John Walk,,,,Exeter,,EX1 2EW,100040211244,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,10a East John Walk,,,,Exeter,,EX1 2EW,100040211246,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6a East John Walk,,,,Exeter,,EX1 2EW,100040211237,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,23 East John Walk,,,,Exeter,,EX1 2EW,100040211262,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,30 East John Walk,,,,Exeter,,EX1 2EP,100040211271,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,54 East John Walk,,,,Exeter,,EX1 2EP,100041225216,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,5 East John Walk,,,,Exeter,,EX1 2EW,100040211236,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,17 East John Walk,,,,Exeter,,EX1 2EW,100040211254,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,38 East John Walk,,,,Exeter,,EX1 2EP,100040211279,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,26a East John Walk,,,,Exeter,,EX1 2EW,100040211266,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,26 East John Walk,,,,Exeter,,EX1 2EW,100040211267,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,40 East John Walk,,,,Exeter,,EX1 2EP,100040211281,Exeter C,-,-,Yes,Yes,No,No,No,No,No
,16 East John Walk,,,,Exeter,,EX1 2EW,100040211253,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,39 East John Walk,,,,Exeter,,EX1 2EP,100040211280,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,46 East John Walk,,,,Exeter,,EX1 2EP,100040211287,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,48 East John Walk,,,,Exeter,,EX1 2EP,100040211289,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,6c East John Walk,,,,Exeter,,EX1 2EW,100040211239,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
,8a East John Walk,,,,Exeter,,EX1 2EW,100040211243,Exeter C,-,-,Yes,Yes,Yes,No,No,No,No
